ETHUSDT,BTCUSDT,ETHUSDT_perc,BTCUSDT_perc,spread,zscore
1218.23,16832.82,1.0,1.0,2.214971357533159,
1216.79,16824.0,0.9988179572002003,0.9994760236252749,1.412134503852485,
1217.95,16834.47,0.9997701583444835,1.0000980227911902,1.8157741702966632,
1217.98,16832.03,0.9997947842361459,0.9999530678757332,2.0220415259677793,
1220.95,16857.36,1.0022327475107329,1.0014578662398814,3.162184100086961,
1221.41,16890.0,1.0026103445162244,1.0033969352728775,1.264247014388502,
1220.4,16894.0,1.0017812728302538,1.0036345662818233,-0.03471586376099367,
1219.8,16877.0,1.0012887549970038,1.0026246344938043,0.5933763683735833,
1219.45,16853.0,1.0010014529276081,1.0011988484401306,1.9771536372697938,
1218.65,16851.45,1.000344762483275,1.0011067664241642,1.2891267525526473,
1220.0,16842.5,1.001452927608087,1.0005750670416484,3.2856811924118574,
1219.1,16839.39,1.0007141508582122,1.0003903089321933,2.610349830172936,
1218.79,16835.5,1.000459683311033,1.0001592127759935,2.581366229173227,
1218.5,16848.95,1.0002216330249625,1.0009582470435732,1.3197285513958832,
1219.6,16863.54,1.0011245823859205,1.0018250061487024,1.3657364533460168,
1219.06,16859.67,1.0006813163359956,1.0015950981475474,1.105308037955865,
1215.35,16838.5,0.9976359144004004,1.0003374360327029,-1.075355929438956,
1216.29,16831.82,0.998407525672492,0.9999405922477635,0.3472120770704805,
1214.75,16809.33,0.9971433965671507,0.998604511899967,0.4319058594651324,
1216.15,16841.27,0.9982926048447338,1.0005019955063976,-0.4754627225572676,
1214.6,16836.3,0.9970202671088382,1.0002067389777827,-1.666426346456774,-2.2014312970140506
1213.38,16821.67,0.9960188141812302,0.999337603562564,-1.829544619625267,-1.9737271017891174
1216.94,16843.73,0.9989410866585128,1.0006481385768993,0.1368251073809006,-0.5677994439332444
1216.85,16844.0,0.9988672089835252,1.000664178670003,0.027320113105815835,-0.5845481412815822
1216.44,16836.41,0.9985306551308045,1.0002132738305287,0.16562717439433072,-0.4337371358842266
1217.9,16842.0,0.9997291151917126,1.00054536316553,1.2218015521805228,0.39226870595010205
1227.15,16922.0,1.007322098454315,1.0052979833444426,4.692543989193609,2.4032514115037977
1224.3,16873.05,1.0049826387463778,1.0023899738724706,5.378727210546231,2.2926186130383774
1222.62,16866.5,1.0036035888132782,1.0020008530953222,4.171903923515629,1.464613043666433
1223.96,16880.0,1.0047035453075364,1.0028028577505137,4.536654209761764,1.4965223079509413
1223.2,16875.34,1.0040796893854198,1.0025260176250919,4.113295962805751,1.1835112463872266
1223.85,16891.67,1.0046132503714404,1.0034961462191123,3.583605012760927,0.9273767415697737
1222.35,16871.25,1.0033819557883157,1.002283039918445,3.5587605057132805,0.8822107616779464
1223.9,16887.5,1.0046542935242113,1.0032484158922865,3.934848813231838,1.0007509935342715
1221.52,16865.58,1.0027006394523201,1.0019461979632647,3.138365385490033,0.6052304472402791
1216.6,16848.0,0.9986619932196711,1.0009018096789486,-0.511642765043689,-0.9317602393355129
1221.9,16877.86,1.0030125674133785,1.0026757251607277,2.63124934957159,0.3810256184553418
1220.95,16861.9,1.0022327475107329,1.0017275774350347,2.83421123338735,0.4020734500794217
1218.7,16834.45,1.0003858056360457,1.0000968346361454,2.5672189846873152,0.24000823671397137
1216.87,16813.5,0.9988836262446334,0.9988522422267927,2.2506620589945214,0.060513686636541476
1217.0,16822.0,0.9989903384418377,0.9993572081208021,1.7666159429272739,-0.21499676589016345
1209.92,16775.07,0.9931786280094892,0.9965692023083477,-1.9231270891855274,-1.92213366372272
1210.77,16803.99,0.9938763616065931,0.9982872745030246,-3.162328698205556,-2.317562252026875
1209.85,16779.53,0.99312116759561,0.9968341608833219,-2.3153206983220116,-1.7701087135467033
1206.9,16679.09,0.9906996215821315,0.9908672462486975,1.9905371720080893,-0.055719243015615726
1206.2,16637.05,0.9901250174433399,0.988369744344679,4.327537021357557,0.830150836375753
1210.75,16691.26,0.9938599443454849,0.9915902385934144,4.961367615238714,0.9974075863356765
