,MATICUSDT,STXUSDT,Spread,ZScore
86,1.5223,1.154,43,1.0877404893227356
87,1.557,1.166,43,1.6194801862900776
88,1.5511,1.159,43,1.537678248453708
89,1.5752,1.193,43,0.7615788764298314
90,1.5693,1.196,43,0.3549279717992509
91,1.5632,1.177,43,0.9347023223195742
92,1.5542,1.183,43,0.26004882843542293
93,1.5602,1.187,43,0.24051859163653524
94,1.5286,1.17,43,-0.1872460515637277
95,1.5374,1.184,43,-0.7059996393185308
96,1.5441,1.187,43,-0.7018791635389942
97,1.526,1.167,43,-0.6022627060284976
98,1.5267,1.158,43,0.12174960932227755
99,1.5391,1.171,43,-0.2867552945789949
100,1.5301,1.164,43,-0.3725611678144263
101,1.5295,1.166,43,-0.6069030955625471
102,1.5362,1.168,43,-0.2224021032951313
103,1.5427,1.171,43,0.03888264788526556
104,1.5466,1.173,43,0.2083119415403806
105,1.5338,1.177,43,-1.2634788454487442
106,1.5311,1.187,43,-2.1549840515652923
107,1.5181,1.175,43,-1.7118926388184137
108,1.5267,1.181,43,-1.5316912775780611
109,1.537,1.185,43,-1.1295185057338697
110,1.544,1.189,43,-0.892000145339098
111,1.5219,1.184,43,-1.867294893922779
112,1.5159,1.185,43,-2.1378511446463544
113,1.4866,1.163,43,-1.8888323121052601
114,1.4542,1.14,43,-1.7962567645700693
115,1.4733,1.156,43,-1.6576289258975934
116,1.4716,1.153,43,-1.3857350096531287
117,1.4701,1.142,43,-0.6421408836567598
118,1.4776,1.147,43,-0.5293020150376473
119,1.493,1.156,43,-0.2560764140474394
120,1.4882,1.157,43,-0.5342231028412457
121,1.4896,1.156,43,-0.30519734723956476
122,1.5071,1.168,43,-0.11162680558438444
123,1.5222,1.171,43,0.7404497753573174
124,1.5295,1.185,43,0.08964506001514794
125,1.5411,1.196,43,0.016261807116753475
126,1.5078,1.168,43,0.43754103316565734
127,1.4885,1.162,43,-0.8524775304014582
128,1.5172,1.179,43,-0.03783267525566655
129,1.5021,1.17,43,-0.3915930251862289
130,1.492,1.165,43,-0.7470611577402793
131,1.4852,1.16,43,-0.7227075635692009
132,1.4303,1.138,43,-2.984448000257422
133,1.456,1.131,43,0.39259036857197804
134,1.4502,1.118,43,1.3273601203796213
135,1.4639,1.133,43,0.7108699313101988
136,1.4527,1.118,43,1.3585438535493153
137,1.4284,1.114,43,-0.5221886986301839
138,1.4548,1.126,43,0.5240186342104062
139,1.4442,1.123,43,-0.12348060352865992
140,1.4416,1.122,43,-0.21778556372161872
141,1.443,1.117,43,0.5216909027670469
142,1.445,1.116,43,0.797323982180309
143,1.4497,1.116,43,1.1637537296036797
144,1.4697,1.129,43,1.4377244039262775
145,1.4668,1.131,43,0.8861401523456348
146,1.4542,1.13,43,-0.12618808427546654
147,1.4691,1.14,43,0.0633334327581796
148,1.4719,1.139,43,0.3806468178588978
149,1.4677,1.131,43,0.8695619354278131
150,1.4531,1.122,43,0.5479809313228918
151,1.526,1.169,43,1.463461336269942
152,1.5631,1.183,43,2.4715661807915845
153,1.5464,1.209,43,-1.6704999911729679
154,1.5561,1.236,43,-2.918282137254009
155,1.5506,1.239,43,-2.684624871877558
156,1.5461,1.219,43,-1.3460153451431782
157,1.5701,1.223,43,-0.2999300585872382
158,1.5533,1.215,43,-0.6279522441425047
159,1.5834,1.232,43,-0.1734895846402142
160,1.614,1.246,43,0.46337596444828566
161,1.6371,1.253,43,1.1060028343777906
162,1.6111,1.235,43,0.9071168799542928
163,1.6042,1.227,43,1.0154683142826606
164,1.5854,1.23,43,-0.0683672712998592
165,1.595,1.243,43,-0.37409544132394323
166,1.5893,1.234,43,-0.0552026508496855
167,1.5915,1.244,43,-0.5617467982171725
168,1.5968,1.246,43,-0.40381063539406675
169,1.599,1.248,43,-0.3896372720229281
170,1.5858,1.234,43,-0.1153818345877806
171,1.5957,1.24,43,0.014528060835514599
172,1.5905,1.236,43,0.06753622802668303
173,1.6251,1.256,43,0.6837328519525793
174,1.6547,1.28,43,0.5521155584329835
175,1.6,1.253,43,-0.7346992602548927
